search_query,video_id,title,channel_title,published_at,view_count,like_count,comment_count,youtube_url
lofi study music,sF80I-TQiW0,90's Chill Lofi ☕️ Study Music Lofi Rain Chillhop Beats ☔️ Lofi Rain Playlist,The Japanese Town,2024-06-04T05:02:38Z,26425315,176531,7774,https://www.youtube.com/watch?v=sF80I-TQiW0
lofi study music,lTRiuFIWV54,1 A.M Study Session 📚 [lofi hip hop],Lofi Girl,2019-12-08T22:02:06Z,134616747,2129223,67643,https://www.youtube.com/watch?v=lTRiuFIWV54
lofi study music,XVFUtEh9zrY,summer lofi ☀️ chill beats to relax to,Lofi Girl,2026-07-21T15:00:07Z,219785,3116,217,https://www.youtube.com/watch?v=XVFUtEh9zrY
lofi study music,X9iLSOsqlzg,Christian Lofi for Productivity | Peaceful Study Vibes🕊️,Psalms Soul Lofi,2025-12-04T02:54:12Z,90231,1840,71,https://www.youtube.com/watch?v=X9iLSOsqlzg
lofi study music,Y9mRoCerrpY,"Cozy Library Coffee Shop Lofi ☕ — Deep Focus to Work, Study & Relax | Lofi Music",Kodi Lofi,2025-07-05T13:01:05Z,2279183,11820,449,https://www.youtube.com/watch?v=Y9mRoCerrpY
lofi study music,X4VbdwhkE10,lofi hip hop radio 📚 beats to relax/study to,Lofi Girl,2026-06-04T06:49:58Z,11103669,40869,0,https://www.youtube.com/watch?v=X4VbdwhkE10
lofi study music,0Qw8ctDj658,"Calm & Collected✨| Jazzy R&B Trap-Soul Lo-Fi| Deep Focus, Work & Journaling",SoulFi Room ,2026-02-25T17:49:37Z,498234,7342,607,https://www.youtube.com/watch?v=0Qw8ctDj658
lofi study music,BYTxPFj44uo,Why the rush? - lo-fi beats for work/study / cat jazz,chill chill journal,2025-04-13T10:40:54Z,4926870,56393,1330,https://www.youtube.com/watch?v=BYTxPFj44uo
lofi study music,53gNFOqDFcE,study with me [pomodoro] 📚 3 hours of lofi focus music,Lofi Girl,2026-01-20T15:00:07Z,1363868,12608,450,https://www.youtube.com/watch?v=53gNFOqDFcE
lofi study music,sm6JbN5kaZo,Peaceful Focus Flow🌱2-Hr R&B Lo-Fi Beats for Work & Study,SoulFi Room ,2025-10-16T17:33:30Z,1158712,22153,1037,https://www.youtube.com/watch?v=sm6JbN5kaZo
